"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
4392,"NCT04335032","EPA-FFA to Treat Hospitalised Patients With COVID-19 (SARS-CoV-2)",,"Not yet recruiting","No Results Available","SARS-CoV-2","Drug: Eicosapentaenoic acid gastro-resistant capsules|Drug: Placebo","Evaluation of EPA-FFA efficacy compared to placebo|Time to and amount of clinical improvement|Change in recovery and survival rate|Reduction of CRP and IL-6|Increase in IFN-γ|Reduction in proinflammatory chemokines and cytokines.","S.L.A. Pharma AG","All","18 Years and older   (Adult, Older Adult)","Phase 3","284","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","EPA-COV-001","November 9, 2020","July 13, 2021","July 31, 2021","April 6, 2020",,"November 2, 2020",,,"https://ClinicalTrials.gov/show/NCT04335032"
4393,"NCT04160975","Persuasion in Medicine: Experimental Evidence on Sender and Signal Effects",,"Completed","No Results Available","Flu, Human|Influenza, Human|Covid19","Behavioral: Video about safety and effectiveness of adult seasonal flu vaccination|Behavioral: Message directing subjects to information on COVID-19 vaccine safety and efficacy","Posterior beliefs about the risk/benefits of the flu shot|Demand for information about a COVID-19 vaccine|Willingness-to-pay (WTP) for a free flu shot coupon|Level of attention and recall from the infomercial video during Baseline survey|Level of attention and recall from the infomercial video during Endline survey|Redemption of said coupon","Harvard University|Stanford University|Massachusetts Institute of Technology","Male","18 Years to 51 Years   (Adult)","Not Applicable","2902","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Care Provider)|Primary Purpose: Health Services Research","IRB19-1424","December 20, 2019","February 19, 2021","February 19, 2021","November 13, 2019",,"February 24, 2021","Harvard University, Cambridge, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT04160975"
4394,"NCT04541472","Influence of the COVId-19 Pandemic on the STRESS of Dental Surgeons (COVISTRESS - Dental Surgery)",,"Recruiting","No Results Available","Dental Surgeon",,"Stress measures|Sociodemographic characteristics|occupation perception|work conditions|Changes in practices","University Hospital, Clermont-Ferrand|Faculty of Medicine and Paramedical Professions, Clermont-Ferrand, France","All","16 Years and older   (Child, Adult, Older Adult)",,"1000","Other","Observational","Observational Model: Cohort|Time Perspective: Cross-Sectional","2020 COVISTRESS Dental Surgery","May 1, 2020","December 1, 2020","December 1, 2020","September 9, 2020",,"September 9, 2020","University Hospital, Clermont Ferrand, Clermont-Ferrand, France",,"https://ClinicalTrials.gov/show/NCT04541472"
4395,"NCT04539873","Impact of Colchicine in Hospitalized Colombian Patients With COVID-19","(COLCOVID19)","Not yet recruiting","No Results Available","Corona Virus Infection","Drug: Colchicine 0.5 MG|Combination Product: CONTROL GROUP","Number of participants who die or require transfer to Intesive care unit|Number of participants who die","Fundación Universitaria de Ciencias de la Salud|Hospital de San Jose","All","18 Years and older   (Adult, Older Adult)","Phase 3","128","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","5175","March 15, 2021","July 15, 2021","September 15, 2021","September 7, 2020",,"February 24, 2021","Fundación Universitaria de Ciencias de La Salud, Bogota, Cundinamarca, Colombia",,"https://ClinicalTrials.gov/show/NCT04539873"
4396,"NCT04407117","Appendicitis During the National Lockdown During the COVID-19 Pandemic",,"Completed","No Results Available","Appendicitis","Behavioral: Lock-down and social distancing","Appendectomy|Postoperative length of stay|Mortality|Incidence of complicated appendicitis","Claus Anders Bertelsen, PhD, MD|Nordsjaellands Hospital","All","Child, Adult, Older Adult",,"6000000","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","APPCOVID-19","March 23, 2017","April 19, 2020","April 19, 2020","May 29, 2020",,"June 19, 2020","Nordsjaellands Hospital, Hillerød, Denmark",,"https://ClinicalTrials.gov/show/NCT04407117"
4397,"NCT04772404","Repercussion of the COVID-19 Pandemic on Physical Activity, Psychological State and Sleep",,"Recruiting","No Results Available","Healthy",,"Knowledge of COVID|Fear of COVID-19 Scale|COVID-19 Anxiety Scale (CAS)|COVID Stress Scales|Burn-Out de Maslach Inventory|Steps per day|International physical activity questionnaire|Barriers to being active quiz|Questionnaire of the transtheoretical model of change of physical exercise|Hospital Anxiety and Depression Scale|Connor-Davidson Resilience Scale|COPE-28|Pittsburgh Sleep Quality Index|Morningness-eveningness questionnaire (MEQ)|Epworth sleepiness Scale|Insomnia severity index|EuroQoL-5D|Charlson Comorbidity Index","Universidad de Granada","All","18 Years and older   (Adult, Older Adult)",,"100","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","DF0094UG","March 7, 2021","May 15, 2021","June 15, 2021","February 26, 2021",,"March 30, 2021","Department of Physical Therapy, Granada, Spain",,"https://ClinicalTrials.gov/show/NCT04772404"
4398,"NCT04397692","Inhaled NO for the Treatment of COVID-19 Caused by SARS-CoV-2 (US Trial)",,"Recruiting","No Results Available","Corona Virus Infection|COVID-19|SARS-CoV 2|Nitric Oxide|Respiratory Disease|Pneumonia, Viral|Inhaled Nitric Oxide","Device: Nitric Oxide delivered via LungFit™ system","Time to deterioration|Time to NIV|Time to HFNC|Time to intubation|Time to patient having stable oxygen saturation (SpO2) of greater than or equal to 93%","Beyond Air Inc.","All","22 Years to 65 Years   (Adult, Older Adult)","Not Applicable","20","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Device Feasibility","BAI_COV19_01_US","June 13, 2020","September 30, 2020","September 30, 2020","May 21, 2020",,"July 8, 2020","Baptist Health Center for Clinical Research, Little Rock, Arkansas, United States",,"https://ClinicalTrials.gov/show/NCT04397692"
4399,"NCT04357418","Psychological Outcome of COVID-19 Lockdown on Psychiatric Hospital Staff and Close Relatives","ICOS","Completed","No Results Available","Anxiety State|COVID-19|Isolation, Social|Health Personnel Attitude","Other: it is a survey","State Anxiety assessed by the State-Trait Anxiety Inventory (STAI)|Visual numeric scales assessing anger and stress the ongoing week.|Beck Depression Inventory","Centre hospitalier de Ville-Evrard, France","All","18 Years and older   (Adult, Older Adult)",,"187","Other","Observational","Observational Model: Other|Time Perspective: Retrospective","10477M-ICOS","April 1, 2020","June 30, 2020","June 30, 2020","April 22, 2020",,"August 3, 2020","URC Ville Evrard, Neuilly-sur-Marne, France",,"https://ClinicalTrials.gov/show/NCT04357418"
4400,"NCT04649775","AirFLO2 Treatment for Hypoxia and/or Tachypnea in Patients With COVID-19","AirFLO2","Not yet recruiting","No Results Available","Corona Virus Infection|Respiratory Rate|Hypoxia|Covid19","Device: AirFLO2","Improve hypoxia as measured by change between baseline P:F ratio and repeat P:F ratio|Subject dyspnea symptoms|Subject cough symptoms|Subject respiratory symptoms|Reduced risk progression of respiratory deterioration|Reduced risk of ICU transfer|Reduced risk for intubation|Reduced hospitalization length of stay|Increased patient survival to discharge","Duke University|MEDEX","All","18 Years and older   (Adult, Older Adult)","Not Applicable","50","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Pro00105246","January 30, 2021","May 2021","June 2021","December 2, 2020",,"January 12, 2021",,,"https://ClinicalTrials.gov/show/NCT04649775"
4401,"NCT04583345","Physical Activity Levels of Hypertensive and Healthy Individuals Under Social Isolation During the COVID-19 Pandemic",,"Recruiting","No Results Available","Hypertension|Social Isolation|COVID","Behavioral: Questionnaires","Physical Activity|Quality of Life Assesment|Evaluation of Individuals Healthy Lifestyle Behaviors|Anxiety and Depression Level","Ebru Calik Kutukcu|Hacettepe University","All","18 Years to 65 Years   (Adult, Older Adult)",,"32","Other","Observational","Observational Model: Case-Control|Time Perspective: Cross-Sectional","GO 20/610","June 1, 2020","July 1, 2021","September 1, 2021","October 12, 2020",,"April 8, 2021","Hacettepe University, Ankara, Turkey",,"https://ClinicalTrials.gov/show/NCT04583345"
4402,"NCT04325867","Integrated Distance Management Strategy for Patients With Cardiovascular Diseases in the Context of COVID-19","eCardioCovid19","Recruiting","No Results Available","Angina Pectoris|Acute Coronary Syndrome|Coronary Syndrome|Coronary Artery Disease|Angioplasty|Stent Restenosis|Hypertension|Heart Failure, Systolic|Depression, Anxiety|Covid-19|Isolation, Social","Other: Tele-medicine platform","Providing a special electronic platform (e-health) for remote managing cardiovascular outpatients|Number of patients included in this platform|Number of consultations/sessions given","Professor Adrian Covic|Medical Sciences Academy - Romania|Victor Babes Clinical Hospital of Infectious Diseases - Bucharest|Grigore T. Popa University of Medicine and Pharmacy","All","Child, Adult, Older Adult","Not Applicable","200","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research","GTP0032","March 31, 2020","October 1, 2020","October 1, 2020","March 30, 2020",,"April 1, 2020","Medical Sciences Academy, Bucharest, Romania|University of Medicine and Pharmacy Gr T Popa, Iasi, Romania",,"https://ClinicalTrials.gov/show/NCT04325867"
4403,"NCT04530604","Defibrotide Therapy for SARS-CoV2 (COVID-19) Acute Respiratory Distress Syndrome (ARDS)",,"Recruiting","No Results Available","COVID|Sars-CoV2|COVID-19|Acute Respiratory Distress Syndrome","Drug: Defibrotide","Number of major hemorrhagic complications within 14 days of initiation of treatment|Overall survival|Ventilator free survival|Number of ventilator free days within 14 days of study entry|The time to improvement in oxygenation|Mean change in the WHO COVID-19 Ordinal Scale during therapy","Gregory Yanik|Jazz Pharmaceuticals|University of Michigan","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 1","12","Other|Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","HUM00182089","October 1, 2020","October 1, 2021","October 1, 2021","August 28, 2020",,"October 14, 2020","University of Michigan, Ann Arbor, Michigan, United States",,"https://ClinicalTrials.gov/show/NCT04530604"
4404,"NCT04338698","Hydroxychloroquine, Oseltamivir and Azithromycin for the Treatment of COVID-19 Infection: An RCT","PROTECT","Recruiting","No Results Available","COVID 19","Drug: Hydroxychloroquine|Drug: Oseltamivir|Drug: Azithromycin","Laboratory Result|Clinical Outcome","Shehnoor Azhar|University of Health Sciences Lahore","All","18 Years and older   (Adult, Older Adult)","Phase 3","500","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Investigator, Outcomes Assessor)|Primary Purpose: Treatment","12(06)/2016-Coord","April 22, 2020","September 1, 2020","November 30, 2020","April 8, 2020",,"July 15, 2020","Faislabad Medical University, Faisalābad, Pakistan|Gujranwala Medical College, Gujrānwāla, Pakistan|Nawaz Sharif Medical College, Gujrāt, Pakistan|Szabmu-Pims, Islamabad, Pakistan|Akram Medical Complex, Lahore, Pakistan|Fatima Jinnah Medical University, Lahore, Pakistan|King Edward Medical University-Mayo Hospital, Lahore, Pakistan|Lahore General Hospital, Lahore, Pakistan|Khyber Teaching Hospital, Peshawar, Pakistan|Rawalpindi Medical University, Rawalpindi, Pakistan|Sargodha Medical College, Sargodha, Pakistan",,"https://ClinicalTrials.gov/show/NCT04338698"
4405,"NCT04490200","Effectiveness of a Novel Respirator With Chitosan Nanoparticles",,"Recruiting","No Results Available","Covid19|SARS-CoV Infection|Worker-Patient Transmission, Healthcare","Device: VESTA respirator|Device: Conventional N95 respirator","Incidence of laboratory-confirmed COVID-19|Ability of the filtering element to inactivate the SARS-Cov-2|Usability and comfort of the respirator|Adherence to the use of the Respirator|Stress|Burnout|Self-reported quality of life|Musculoskeletal discomfort|Work ability|Incidence of acute respiratory illness","University of Brasilia|University of Campinas, Brazil|Centro de Pesquisa em Biotecnologia Ltda|Hospital Regional da Asa Norte (HRAN)|Hospital da Região Leste (HRL)|Hospital Universitário de Brasília (HUB/UnB)","All","20 Years to 59 Years   (Adult)","Not Applicable","1000","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Outcomes Assessor)|Primary Purpose: Prevention","VESTA Trial|32862320.0.0000.0030","March 1, 2021","December 30, 2021","February 15, 2022","July 29, 2020",,"March 3, 2021","HRAN (Hospital Regional da Asa Norte), Brasília, Brazil",,"https://ClinicalTrials.gov/show/NCT04490200"
4406,"NCT04710394","Visual-OLfactory Training in Participants With COVID-19 Resultant Loss of Smell","VOLT","Active, not recruiting","No Results Available","Anosmia|Covid19|Ageusia|Hyposmia|Hypogeusia|SARS-CoV-2 Infection|COVID-19 Pandemic","Behavioral: Smell Training","University of Pennsylvania Smell Identification Test (UPSIT)|Clinical Global Impression Severity (CGI-S) Scale|Clinical Global Impression Improvement (CGI-I) Scale|Olfactory Dysfunction Outcomes Rating (ODOR)","Washington University School of Medicine","All","18 Years to 70 Years   (Adult, Older Adult)","Not Applicable","240","Other","Interventional","Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: Double (Participant, Care Provider)|Primary Purpose: Treatment","7011897206","January 11, 2021","March 11, 2022","March 11, 2022","January 14, 2021",,"April 5, 2021","Washington University School of Medicine in Saint Louis, Saint Louis, Missouri, United States",,"https://ClinicalTrials.gov/show/NCT04710394"
4407,"NCT04507867","Effect of a Nss to Reduce Complications in Patients With Covid-19 and Comorbidities in Stage III",,"Not yet recruiting","No Results Available","Covid19|Diabetes Mellitus|Hypertension|Obesity","Dietary Supplement: Nutritional support system (NSS)|Other: Control","Oxygen saturation|Body temperature|Blood pressure|Heart rate|Breathing frequency|Death|Awareness|Hospital stay|qSOFA score|Progression to ventilation|Progression to Intensive Care Unit|Cephalea|Activity level|Anatomic position|Hair hydration|Hair loss|Decalvary patches|Scalp lesions|Itching scalp|Loss of eyelashes|Drooping of eyebrows|Eyelid edema|Vascularity of the sclera|Ocular hydration|Sclera color|Sense of smell|Irritation in the nostrils|Nasal secretions|Cheilitis|Taste buds|Saw edge of the tongue|Changes in the body of the tongue|Thickness of the tongue|Salivation|Taste|Gums|Skin sensitivity|Skin lesions|Skin hydration|Skin texture|Absence of body hair|Cervical pain points|Forearm pain points|Odynophagia|Cough|Sneezing|Respiration rhythm|Abdominal breathing|Use of accessory muscles when breathing|Xiphoid retraction when breathing|Dyspnea|Abdomino-cutaneous reflexes|Rebound sensitivity|Right hypochondrium|Epigastrium|Left hypochondrium|Right flank|Mesogastrium|Left flank|Right iliac fossa.|Hypogastrium|Left iliac fossa.|Vomiting|Appetite|Reflux|Burps|Bristol scale|Hair loss on legs|Sensitivity of the tibial tract|Nail strength|Fungus in the nails of the hands|White stripes on the nails|White spots on the nails|Ridges on the nails|Height|Weight|BMI|Erythrocytes|Hemoglobin|Hematocrit|Mean corpuscular volume|Mean hemoglobin concentration|Mean corpuscular hemoglobin concentration|Erythrocyte distribution width|Hemoglobin distribution index|Leukocytes|Neutrophils (%)|Neutrophils (#)|Lymphocytes (%)|Lymphocytes (#)|Monocytes (%)|Monocytes (#)|Eosinophils (%)|Eosinophils (#)|Basophils (%)|Basophils (#)|Prothrombin time|INR|Control blood sample (100-50) 1|Partial thromboplastin time|Control blood sample (100-50) 2|Platelets|Mean platelet volume|D-dimer|Homocysteine|Vitamin D|Calcium|Phosphorus|Magnesium|Sodium|Potassium|Chlorine|Blood glucose|Total cholesterol|Triglycerides|LDL cholesterol|HDL cholesterol|Aspartate aminotransferase|Alanine aminotransferase|Total bilirubin|Direct bilirubin|Indirect bilirubin|Alkaline phosphatase|Total proteins|Albumin level|Globulin level|A / G ratio|Urea nitrogen|Urea|Creatitine|Uric acid|Ferritin|Fibrinogen|C-reactive protein|Adherence to the Nutritional Support System (NSS)|Intake time|Amount of prepared ""NSS"" he drink|Taking of the ""floratil"" pill|Neurobion injection|Diet calories|Trans fat in the diet|Saturated fat in the diet.|Monounsaturated fats in the diet|Polyunsaturated fat in the diet|Protein of animal origin in the diet|Plant-based protein in the diet|Fluid balance (income)|Fluid balance (outcome)|Hungry|Abdominal circumference|Arm circumference.|Tricipital fold|Arm area|Biological sex|Age|AB0 system|Rh factor|Use of proton pump inhibitors|Obesity medications|Use of antiepileptic drugs|Use of oral contraceptives|Use of antimitotics|Antibiotics|Analgesics|Corticosteroids|Diuretics|Antihypertensive|Anticoagulants|Other medications|Acute alterations in the absorption of nutrients.|Drug interactions and adverse effects|Oxygen therapy|Mood","Anahuac University","All","30 Years to 75 Years   (Adult, Older Adult)","Not Applicable","240","Other","Interventional","Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: Single (Investigator)|Primary Purpose: Supportive Care","202036","August 2020","October 2020","December 2020","August 11, 2020",,"August 11, 2020",,,"https://ClinicalTrials.gov/show/NCT04507867"
4408,"NCT04590547","GLS-1027 for the Prevention of Severe Pneumonitis Caused by SARS-CoV-2 Infection (COVID-19)",,"Recruiting","No Results Available","Pneumonitis|SARS-CoV Infection","Drug: GLS-1027|Drug: Placebo","Incidence of serious adverse events relative to treatment group|Incidence of progression to WHO Classification of ≥6 to include intubation with mechanical ventilation, need for ECMO, or death relative to treatment group|Assess the number of days requiring ICU care relative to treatment group|Assess the number of days of mechanical ventilation relative to treatment group","GeneOne Life Science, Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 2","132","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","GLS27-005","April 2021","October 2021","November 2021","October 19, 2020",,"April 8, 2021","Baton Rouge General Medical Center, Baton Rouge, Louisiana, United States",,"https://ClinicalTrials.gov/show/NCT04590547"
4409,"NCT04581187","An Online-platform to Improve Patient-centered Care During the COVID-19 Pandemic: a GIMEMA Surveillance Program in Hematologic Malignancies",,"Not yet recruiting","No Results Available","Hematologic Malignancies","Other: Quality of life assessment","HRQOL in adult patients with hematologic malignancies|Symptoms in adult patients with hematologic malignancies|Adherence to therapy in adult patients with hematologic malignancies|Prevalence of clinically relevant functional limitations and symptoms|Factors associated with physical and mental health concerns|Financial and social impact imposed by the COVID-19 pandemic on patient health outcomes|Limitations in accessing routine medical care services imposed by the COVID-19 pandemic on patient health outcomes|Clinical strategies adopted by physicians","Gruppo Italiano Malattie EMatologiche dell'Adulto","All","18 Years and older   (Adult, Older Adult)",,"400","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","GIMEMA-ALLIANCE Platform","October 2020","October 2022","October 2024","October 9, 2020",,"October 9, 2020",,,"https://ClinicalTrials.gov/show/NCT04581187"
4410,"NCT04748185","Immunogenicity and Safety of Commercially Available Vaccines Against SARS-CoV-2 (COVID-19) in Patients With Hematologic Malignancies",,"Recruiting","No Results Available","Monoclonal B-Cell Lymphocytosis|Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma|B-cell Non Hodgkin Lymphoma|Hodgkin Lymphoma",,"Humoral Immunogenicity|Cellular Immunogenicity","Mayo Clinic","All","18 Years and older   (Adult, Older Adult)",,"650","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","20-012589","January 18, 2021","January 30, 2023","January 30, 2023","February 10, 2021",,"February 10, 2021","Mayo Clinic, Rochester, Minnesota, United States",,"https://ClinicalTrials.gov/show/NCT04748185"
4411,"NCT04475081","Use of a Live Attenuated Vaccine as an Immune-based Preventive Against COVID-19-associated Sepsis",,"Not yet recruiting","No Results Available","Sepsis Syndrome","Biological: MMR vaccine","Induction of myeloid-derived suppressor cells (MDSCs)|Induction of MDSCs|COVID-19 infection positive|Health questionnaire","Louisiana State University Health Sciences Center in New Orleans|Parsemus Foundation","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 3","60","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Prevention","PF-1214","August 17, 2020","October 31, 2021","December 1, 2021","July 17, 2020",,"July 20, 2020",,,"https://ClinicalTrials.gov/show/NCT04475081"
4412,"NCT04626089","Metformin Glycinate in Patients With MS or DM2 , Hospitalized With COVID-19 and SARS Secondary to SARS-CoV-2","DMMETCOV19","Withdrawn","No Results Available","Severe Acute Respiratory Syndrome Coronavirus 2|Metabolic Syndrome|Type 2 Diabetes","Drug: metformin glycinate|Drug: Placebo oral tablet","Viral Load|Days of supplementary oxygen if apply|Days of supplementary mechanical ventilation if apply|Days of Hospitalization|Normalization of fever|Normalization of oxigen saturation|Number of deaths|Change in Serum creatinine levels|Change in serum Troponin I|Change in serum aspartate aminotransferase levels|Change in serum Creatine kinase-MB levels|Incidence of adverse event","Laboratorios Silanes S.A. de C.V.","All","18 Years and older   (Adult, Older Adult)","Phase 2","0","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","SIL-30000-II(1)","February 2021","February 2021","February 2021","November 12, 2020",,"April 8, 2021","Hospital Juárez de México, OPD, Mexico City, Mexico",,"https://ClinicalTrials.gov/show/NCT04626089"
4413,"NCT04668339","A Trial Evaluating the Safety and Effects of an RNA Vaccine ARCT-021 in Healthy Adults",,"Active, not recruiting","No Results Available","Covid19|SARS-CoV Infection|Corona Virus Infection","Biological: ARCT-021 single dose priming|Biological: ARCT-021 two lower dose priming|Biological: ARCT-021 two higher dose priming|Biological: Placebo (two doses), priming|Biological: Randomized booster|Biological: Placebo booster","Percentages of participants reporting solicited local adverse events|Percentages of participants reporting solicited systemic adverse events|Percentages of participants reporting adverse events|Percentages of participants reporting serious adverse events|Percentages of participants reporting medically attended adverse events|Percentages of participants reporting new onset of chronic disease|Percentages of participants with abnormal chemistry and hematology values|SARS-CoV-2 serum neutralizing antibody levels, expressed as GMTs|Changes in SARS-CoV-2 serum neutralizing titers from before vaccination to each subsequent time point, expressed as GMFRs|Percentages of participants achieving greater than or equal to 2-fold and 4-fold rises from before vaccination in SARS-CoV-2 serum neutralizing antibody levels|SARS-CoV-2 anti-S1, anti-RBD, and anti-N binding antibody levels, expressed as GMCs|Changes in SARS-CoV-2 anti-S1, anti-RBD, and anti-N binding antibody levels from before vaccination to each subsequent time point, expressed as GMFRs|Percentages of participants achieving greater than or equal to 2-fold and 4-fold rises from before vaccination in SARS-CoV-2 SARS-CoV-2 anti-S1, anti-RBD, and anti-N binding antibody levels","Arcturus Therapeutics, Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 2","600","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","ARCT-021-04","January 7, 2021","April 30, 2022","April 30, 2022","December 16, 2020",,"March 29, 2021","Arcturus Investigational Site 103, Chandler, Arizona, United States|Arcturus Investigational Site 107, Tucson, Arizona, United States|Arcturus Investigational Site 112, San Diego, California, United States|Arcturus Investigational Site 104, Melbourne, Florida, United States|Arcturus Investigational Site 105, Orlando, Florida, United States|Arcturus Investigational Site 106, Pinellas Park, Florida, United States|Arcturus Investigational Site 109, The Villages, Florida, United States|Arcturus Investigational Site 101, Peoria, Illinois, United States|Arcturus Investigational Site 110, Rockville, Maryland, United States|Arcturus Investigational Site 102, Anderson, South Carolina, United States|Arcturus Investigational Site 111, Austin, Texas, United States|Arcturus Investigational Site 108, Dallas, Texas, United States|Arcturus Investigational Site 204, Singapore, Singapore|Arcturus Investigational Site 201, Singapore, Singapore|Arcturus Investigational Site 203, Singapore, Singapore",,"https://ClinicalTrials.gov/show/NCT04668339"
4414,"NCT04366089","Oxygen-Ozone as Adjuvant Treatment in Early Control of COVID-19 Progression and Modulation of the Gut Microbial Flora","PROBIOZOVID","Recruiting","No Results Available","COVID|SARS-CoV 2|Pneumonia, Viral|Coronavirus Infection","Other: Oxygen-ozone therapy, probiotic supplementation and Standard of care|Dietary Supplement: SivoMixx (200 billion)|Drug: Azithromycin|Drug: hydroxychloroquine","Delta in the number of patients requiring orotracheal intubation despite treatment|Delta of crude mortality|Delta of length of stay for patients in hospital|delta in the value of interleukin (IL)-1|delta in the value of IL-6|delta in the value of IL-10|delta in the value of Tumor Necrosis Factor (TNF)-alpha|delta in the value of cluster of differentiation (CD)4+ CD38/ Human Leukocyte Antigen-DR isotype (HLA-DR)|delta in the value of CD8+ CD38/ HLA-DR|delta in the value of fecal calprotectin|delta in the value of lipopolysaccharide (LPS)|delta in the value of zonulin|delta in the value of alpha1-antitrypsin","Roberto Poscia MD, PhD|Azienda Policlinico Umberto I","All","18 Years and older   (Adult, Older Adult)","Phase 2","152","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","110/2020","March 26, 2020","October 30, 2020","December 31, 2020","April 28, 2020",,"April 28, 2020","Francesco Pugliese, Rome, RM, Italy",,"https://ClinicalTrials.gov/show/NCT04366089"
4415,"NCT04666311","Diagnostic Accuracy of CAD4TB and C-reactive Protein Assay as Triage Tests for Pulmonary Tuberculosis","TB TRIAGE+","Recruiting","No Results Available","Pulmonary Tuberculosis|Tuberculosis Diagnosis|Covid-19|HIV","Diagnostic Test: Accuracy of CAD4TB and Afinion CRP assay for pulmonary TB|Diagnostic Test: CAD4COVID+WBC and COVID-19 RDT for SARS-CoV-2 infection","Determine CAD4TB cut-off value|Determine Afinion CRP assay cut-off value|Evaluate CAD4TB ROC against reference standard|Evaluate Afinion CRP assay ROC against reference standard|Evaluate CAD4COVID and COVID-19 RDT ROC against reference standard","Klaus Reither|SolidarMed|Human Sciences Research Council|Institute of Tropical Medicine, Belgium|Radboud University|Charite University, Berlin, Germany|University Hospital, Basel, Switzerland|Foundation for Innovative New Diagnostics, Switzerland|European and Developing Countries Clinical Trials Partnership (EDCTP)|Ministry of Health, Lesotho|Swiss Tropical & Public Health Institute","All","18 Years and older   (Adult, Older Adult)",,"1400","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","P1685-20A","March 2021","November 2021","May 2022","December 14, 2020",,"March 18, 2021","Butha-Buthe District Hospital, Butha-Buthe, Lesotho|Caluza Clinic, Pietermaritzburg, KwaZulu-Natal, South Africa",,"https://ClinicalTrials.gov/show/NCT04666311"
4416,"NCT04403009","The Clinical Difference Between the Nonfatal Patients and the Fatal Patients With Severe COVID-19",,"Recruiting","No Results Available","Coronavirus Disease 2019|Character of the Severe Patients","Other: no intervention","Lymphocyte cell|d-dimer|PLT|CRP|LDH|CK|PT|ALT|AST|NK cell|PCT|IL-6|the clinical difference of radiologic characteristics between the fatal patients with COVID -19 and the non fatal cases","The First Affiliated Hospital of Guangzhou Medical University","All","20 Years to 100 Years   (Adult, Older Adult)",,"100","Other","Observational","Observational Model: Cohort|Time Perspective: Cross-Sectional","YLS2020(112)","February 1, 2020","June 6, 2020","June 20, 2020","May 27, 2020",,"May 27, 2020","The First Affiliated Hospital of Guangzhou Medical University, Guanzhou, Guangdong, China|Hankou Hospital, Wuhan, Hubei, China",,"https://ClinicalTrials.gov/show/NCT04403009"
